Activity	ItemType	Name	Count
WM	SB	Sleeping Bag	102
CN	PF	PFD	70
WM	TN	Tent	62
KA	BT	Booty	55
WM	BP	Backpack	50
KA	HT	Kayak Helmet	46
CV	EL	Headlamp	38
KA	DS	Dry Suit	33
CN	PD	Canoe Paddle	32
WM	SP	Sleeping Pad	31
WM	SN	Snowshoe	27
IC	IH	Ice Tool	25
KA	AB	Air Bag	25
WM	EL	princeton tec tikka plus	21
RC	SH	Climbing Harness	17
RC	HT	Helmet	17
IC	FF	Petzl Crampon	16
IC	BT	Ice Climbing Boot	16
WM	CR	Crampons	16
MB	BK	Giant Revel 0	13
KA	TB	Throw Bag	13
WM	ST	Backpacking stove	12
WM	IA	Ice Axe	11
CV	HT	caving helmet	11
XC	BT	xc boots	10
XC	SK	xc skis	9
XC	PL	poles	9
KA	SK	Skirt	9
KA	PK	Pin Kit	8
CN	CN	Canoe	7
RC	DR	Rope	6
WM	FB	Fuel Bottle	6
WM	BV	Bivy Sack	6
WM	SS	Stuff Sack	5
CN	BS	boat sponge	5
CN	DB	Dry Bag	5
PT	GP	Go pro Hero 3+	5
CV	AS	Ascender	4
WM	WP	Water Pump	4
FA	FA	Adventure Med Kit	4
MB	HT	Garneau Bike Helmet	4
RC	RP	rope	3
KA	GL	Pogie	3
RC	RB	Rope Bag	3
CN	AB	canoe airbag	2
MB	BG	Topeak Bike Bag	2
KA	ST	Splash Top	2
KA	PF	Stohlquist Rescue Vest	2
CV	CP	Cave Pack	2
RF	PP	electronic raft pump	2
KA	WS	Farmer John	2
WM	BC	Bear Canister	2
CV	SH	Caving Harness	1
WM	FF	Crampons for Ice Climbing	1
CN	PP	bilge pump	1
